"ID","A1","A2","A3","A4","D1","D2","D3","D4","L1","L2","L3","L4","S1","S3","S4","S5","Gene.name"
"ENSRNOG00000058539",227,58,111,268,179,112,234,240,323,1077,703,634,1254,638,685,808,"Ccnb1"
"ENSRNOG00000018746",518,592,530,567,47,91,130,263,608,655,583,665,632,705,556,708,"Slc30a5"
"ENSRNOG00000048656",1,0,0,1,0,0,1,0,0,2,0,0,0,1,0,1,"AABR07007853.1"
"ENSRNOG00000056525",0,0,7,3,0,0,0,0,1,0,0,0,0,0,0,0,"AABR07007853.2"
"ENSRNOG00000057995",0,0,0,0,0,0,1,0,0,0,1,0,3,0,3,2,"LOC102556051"
"ENSRNOG00000018903",986,984,1109,1521,120,138,188,202,461,443,412,446,458,575,391,453,"Pik3r1"
"ENSRNOG00000052924",0,2,1,0,0,0,2,0,5,7,0,1,2,2,3,3,"AABR07007863.1"
"ENSRNOG00000054794",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,"AABR07007874.1"
"ENSRNOG00000060901",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07007875.1"
"ENSRNOG00000055615",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00026"
"ENSRNOG00000010720",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mast4"
"ENSRNOG00000059628",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"AABR07007878.1"
"ENSRNOG00000058177",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"AABR07007879.1"
"ENSRNOG00000010266",15,26,29,11,2,5,3,7,115,39,43,29,25,54,39,21,"Cd180"
"ENSRNOG00000027002",2,0,1,0,3,1,0,0,0,5,0,0,0,2,2,1,"NEWGENE_1310139"
"ENSRNOG00000060780",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00398"
"ENSRNOG00000057265",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00100"
"ENSRNOG00000032735",197,240,262,246,1356,1342,1160,2474,588,737,645,625,653,830,599,579,"Srek1"
"ENSRNOG00000047137",600,548,576,652,187,298,277,278,480,658,494,459,663,521,435,473,"Erbin"
"ENSRNOG00000056649",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"AABR07007896.1"
"ENSRNOG00000011561",767,739,926,905,82,107,116,165,416,566,376,437,474,403,315,424,"Nln"
"ENSRNOG00000011937",25,23,28,23,1,1,5,1,10,7,11,10,13,8,8,13,"Sgtb"
"ENSRNOG00000012124",429,576,616,600,84,107,181,239,555,615,561,555,557,616,570,591,"Trappc13"
"ENSRNOG00000012354",237,253,261,275,7,19,19,21,151,143,136,186,129,129,137,152,"Trim23"
"ENSRNOG00000012505",115,106,123,145,36,47,67,172,143,232,192,165,210,164,135,176,"Ppwd1"
"ENSRNOG00000039740",39,15,27,21,122,138,206,344,154,289,296,167,404,177,197,238,"Cenpk"
"ENSRNOG00000012655",9,2,3,5,1,2,3,6,13,26,11,13,16,23,20,18,"Adamts6"
